Well Name,API,Route,Company,Status
LOVETT #2- 2,35129218930000,E 304,Presidio,Active
LOVETT #3- 2,35129226330000,E 304,Presidio,Active
"LOVETT, D & R #5-1",35129222270000,E 304,Presidio,Active
LOWERY #1-23,35045206000000,N 114,Presidio,Active
LUCAS #7-21,35129233740000,E 307,Presidio,Active
LUCAS 1-24HB,35129234440000,E 304,Presidio,Active
LUCAS 9-2,42211311550001,C 210,Presidio,Active
"LUCAS, FRANK #1-16",35129214610000,E 307,Presidio,Active
LUNSFORD 2-3,42483316130001,C 208,Presidio,Active
LUNSFORD 3-10H,42483335800000,C 208,Presidio,Active
LUNSFORD 3-4H,42483329260000,C 208,Presidio,SI
LUNSFORD 3-6H,42483330290000,C 208,Presidio,Active
LUNSFORD 3-8H,42483330320000,C 208,Presidio,Active
LUNSFORD 3-9H,42483335010000,C 208,Presidio,Active
LUTHER WILLIS SL 209H,42483328810000,C 208,Presidio,Active
LUTHER WILLIS SL 409H,42483328930000,C 208,Presidio,Active
LUTHER WILLIS SL 609H,42483332360000,C 208,Presidio,Active
LUTHER WILLIS SL 709H,42483332560000,C 208,Presidio,SI
LUTHI -A- #1-401,42357227440000,N 103,Presidio,Active
LUTHI A 401 #6H,42357332020000,N 103,Presidio,Active
LUTHI A 401 #7H,42357334670000,N 103,Presidio,Active
LUTHI A 401 #8H,42357334700000,N 103,Presidio,SI
"LUTHI, JOHN #1-392",42357353000000,N 103,Presidio,SI
"LUTHI, JOHN #4H-392",42357329520000,N 103,Presidio,Active
"LUTHI, JOHN #5H-392",42357330710000,N 103,Presidio,Active
LYDIA BRADFORD A 03,42295319930000,N 110,Presidio,SI
LYTLE #1-21,35045300240000,N 114,Presidio,Active
LYTLE #3-21,35045221220000,N 114,Presidio,SI
MACIAS 01-24,42211320750000,C 201,Presidio,SI
MACIAS 03-24,42211339970000,C 201,Presidio,SI
MADELINE 26-1H,42211355380000,C 200,Presidio,Active
MADELINE 55-26 2H,42211355460100,C 201,Presidio,Active
MADELINE 55-26 A-3H,42211355840000,C 201,Presidio,Active
MADOLE #1- 5,35009216690000,E 313,Presidio,Active
MADOLE #1- 7H,35009217870000,E 314,Presidio,Active
MADOLE #1-18H,35009218360000,E 314,Presidio,Active
MAHLER 1-27,42393322790000,N 105,Presidio,Active
MAIZEY 542-2H,42295331140000,N 111,Presidio,SI
MALCOLM 643 1H,42295338920000,N 106,Presidio,SI
MATHERS 133 #2H,42211352550000,N 102,EQV,Active
MALSON #1-28H,35129238420000,E 302,Presidio,Active
MALSON 18-15-25 1H,35129239250000,E 308,Presidio,Active
MAMIE 5-4HC-N,35129237450000,E 308,Presidio,Active
